{'RPATH': 'example', 'UPATH': 'example', 'save': 'example_1', 'seed': 2022, 'lr': 0.0005, 'gpu': '1', 'ep': 500, 'lambda_': 1.0, 'epsilon': 0.2}
epoch : 203	 logprob : -0.03	 J : 0.05	 LOS : 130.2	 TPP(won) : 7700.0
epoch : 204	 logprob : -0.03	 J : 0.05	 LOS : 124.8	 TPP(won) : 7700.0
epoch : 205	 logprob : -0.04	 J : 0.06	 LOS : 129.4	 TPP(won) : 7700.0
epoch : 206	 logprob : -0.03	 J : 0.05	 LOS : 132.0	 TPP(won) : 7700.0
epoch : 207	 logprob : -0.04	 J : 0.06	 LOS : 127.0	 TPP(won) : 7700.0
epoch : 208	 logprob : -0.03	 J : 0.05	 LOS : 133.2	 TPP(won) : 7700.0
epoch : 209	 logprob : -0.03	 J : 0.05	 LOS : 128.0	 TPP(won) : 7700.0
epoch : 210	 logprob : -0.03	 J : 0.04	 LOS : 129.8	 TPP(won) : 7700.0
epoch : 211	 logprob : -0.03	 J : 0.05	 LOS : 123.4	 TPP(won) : 7700.0
epoch : 212	 logprob : -0.03	 J : 0.05	 LOS : 128.6	 TPP(won) : 7700.0
epoch : 213	 logprob : -0.03	 J : 0.04	 LOS : 128.0	 TPP(won) : 7700.0
epoch : 214	 logprob : -0.03	 J : 0.05	 LOS : 126.2	 TPP(won) : 7700.0
epoch : 215	 logprob : -0.03	 J : 0.05	 LOS : 126.8	 TPP(won) : 7700.0
epoch : 216	 logprob : -0.03	 J : 0.04	 LOS : 126.2	 TPP(won) : 7700.0
epoch : 217	 logprob : -0.03	 J : 0.05	 LOS : 130.6	 TPP(won) : 7700.0
epoch : 218	 logprob : -0.03	 J : 0.05	 LOS : 130.0	 TPP(won) : 7700.0
epoch : 219	 logprob : -0.03	 J : 0.04	 LOS : 128.4	 TPP(won) : 7700.0
epoch : 220	 logprob : -0.03	 J : 0.04	 LOS : 129.0	 TPP(won) : 7700.0
epoch : 221	 logprob : -0.03	 J : 0.05	 LOS : 131.6	 TPP(won) : 7700.0
epoch : 222	 logprob : -0.02	 J : 0.04	 LOS : 126.6	 TPP(won) : 7700.0
epoch : 223	 logprob : -0.03	 J : 0.04	 LOS : 128.8	 TPP(won) : 7700.0
epoch : 224	 logprob : -0.03	 J : 0.05	 LOS : 128.0	 TPP(won) : 7700.0
epoch : 225	 logprob : -0.03	 J : 0.06	 LOS : 129.0	 TPP(won) : 7700.0
epoch : 226	 logprob : -0.03	 J : 0.05	 LOS : 131.2	 TPP(won) : 7700.0
epoch : 227	 logprob : -0.03	 J : 0.04	 LOS : 131.4	 TPP(won) : 7700.0
epoch : 228	 logprob : -0.02	 J : 0.04	 LOS : 127.4	 TPP(won) : 7700.0
epoch : 229	 logprob : -0.02	 J : 0.04	 LOS : 126.2	 TPP(won) : 7700.0
epoch : 230	 logprob : -0.03	 J : 0.04	 LOS : 129.0	 TPP(won) : 7700.0
epoch : 231	 logprob : -0.02	 J : 0.04	 LOS : 130.2	 TPP(won) : 7700.0
epoch : 232	 logprob : -0.02	 J : 0.03	 LOS : 133.6	 TPP(won) : 7700.0
epoch : 233	 logprob : -0.02	 J : 0.04	 LOS : 128.8	 TPP(won) : 7700.0
epoch : 234	 logprob : -0.04	 J : 0.06	 LOS : 132.4	 TPP(won) : 7700.0
epoch : 235	 logprob : -0.03	 J : 0.04	 LOS : 130.2	 TPP(won) : 7700.0
epoch : 236	 logprob : -0.03	 J : 0.05	 LOS : 125.6	 TPP(won) : 7700.0
epoch : 237	 logprob : -0.03	 J : 0.05	 LOS : 126.8	 TPP(won) : 7700.0
epoch : 238	 logprob : -0.02	 J : 0.04	 LOS : 124.0	 TPP(won) : 7700.0
epoch : 239	 logprob : -0.03	 J : 0.05	 LOS : 129.2	 TPP(won) : 7700.0
epoch : 240	 logprob : -0.02	 J : 0.03	 LOS : 133.2	 TPP(won) : 7700.0
epoch : 241	 logprob : -0.02	 J : 0.03	 LOS : 130.8	 TPP(won) : 7700.0
epoch : 242	 logprob : -0.03	 J : 0.06	 LOS : 126.6	 TPP(won) : 7700.0
epoch : 243	 logprob : -0.02	 J : 0.03	 LOS : 131.8	 TPP(won) : 7700.0
epoch : 244	 logprob : -0.02	 J : 0.03	 LOS : 128.8	 TPP(won) : 7700.0
epoch : 245	 logprob : -0.04	 J : 0.07	 LOS : 127.4	 TPP(won) : 7700.0
epoch : 246	 logprob : -0.05	 J : 0.08	 LOS : 130.8	 TPP(won) : 7700.0
epoch : 247	 logprob : -0.02	 J : 0.04	 LOS : 127.4	 TPP(won) : 7700.0
epoch : 248	 logprob : -0.02	 J : 0.03	 LOS : 124.8	 TPP(won) : 7700.0
epoch : 249	 logprob : -0.02	 J : 0.03	 LOS : 126.2	 TPP(won) : 7700.0
epoch : 250	 logprob : -0.02	 J : 0.04	 LOS : 129.8	 TPP(won) : 7700.0
epoch : 251	 logprob : -0.02	 J : 0.03	 LOS : 126.8	 TPP(won) : 7700.0
epoch : 252	 logprob : -0.02	 J : 0.03	 LOS : 126.4	 TPP(won) : 7700.0
epoch : 253	 logprob : -0.02	 J : 0.03	 LOS : 125.8	 TPP(won) : 7700.0
epoch : 254	 logprob : -0.02	 J : 0.03	 LOS : 129.0	 TPP(won) : 7700.0
epoch : 255	 logprob : -0.02	 J : 0.03	 LOS : 132.2	 TPP(won) : 7700.0
epoch : 256	 logprob : -0.02	 J : 0.03	 LOS : 130.8	 TPP(won) : 7700.0
epoch : 257	 logprob : -0.02	 J : 0.03	 LOS : 128.6	 TPP(won) : 7700.0
