PRODU_CODE,PRODU_NAME,PRODU_SHORT_NAME,LIG_CODE,LIG_NAME,MID_CODE,MID_NAME,SML_NAME,SML_CODE
0051934720151,"치즈(위앤,프로볼로네 슬라이스 681g*8)개",위)프로볼로네 슬라이스,12,유제품,1203,치즈류,수입치즈,120301
8809290728166,"식기(아성,후지스텐접시,소,10p)개",아성후지스탠접시(소),24,주방잡화,2401,용기류,그릇,240101
6947070032750,"수입과자(서광,해피젤리,80g*12,중국)개",서광)해피젤리,20,과자,2003,수입과자,수입과자,200301
8801117119409,"스낵(오리온,초코송이,18p,기획,648g)개",오)초코송이18p기획,20,과자,2001,스낵류,스낵,200101
2100000700950,"돈육(500g,생목살,온라인용,7mm,구이,냉장)",생목살(7mm),03,축산,0301,돈육,목살,030104
8809001980265,"백미(바른,신동진쌀,바람빛,계화간척지,20Kg,국내산)개",바람빛신동진쌀,05,양곡,0501,미곡류,국산쌀,050101
8809057794045,"음료원액(포모나,블루베리스무디,2kg*6)개",카파)포모나블루베리스무디2KG,14,커피/차류,1406,음료.차류,음료원액,140602
0046572800075,서광)세븐팩버블껌,서광)세븐팩버블껌,20,과자,2003,수입과자,수입과자,200301
8801045570068,"★컵라면(오뚜기,순한,진라면,65g*15)개",오뚜기)진컵소(순)65g,19,면,1905,라면,소컵,190504
8801047141723,"수산캔(동원,알래스카,연어,매운고추,135g*36)개",동원)연어매운고추135g,18,조리가공,1804,수산통조림,연어,180405
201166,"미)수입단호박(수입산,벌크,봉,개)","수입단호박(수입산,벌크,봉,개)",02,야채,0207,과채류,단호박,020712
200558,"한라봉(3kg,box)","한라봉(3kg,box)",01,청과,0107,밀감,"한라봉(3kg,box)",010712
8000500239216,"초콜릿(매일,킨더,초코볼,크리스피,T9)개",킨더초코볼크리스피T9,20,과자,2006,"캔디,껌,초콜릿",초콜릿,200602
8801105910681,"아동음료(해태,폴짝콩콩,복숭아,210ml)개",해)폴짝콩콩복숭아,13,음료,1304,아동음료,아동음료,130401
8809251219306,"빙수팥(스위트웰,850g*12)개",오씨아니빙수팥,20,과자,2009,빙수재료,빙수팥,200904
8801024944828,"숙주나물(대상종가집,다정,3.5kg내외,냉장,중국산)개",다정)숙주나물,09,일배,0903,콩나물,박스숙주나물,090301
8855444007861,서)마마코꽃게라면맛누들스낵,서)마마코꽃게라면맛누들스낵,20,과자,2003,수입과자,수입과자,200301
4902430232159,헤드&숄더두피샴푸850,헤드&숄더두피샴푸850,21,H&BC,2102,헤어케어,샴푸,210202
206627,수산,수산,06,선어,0608,회,광어회,060801
8809385370256,원콜착화탄220g,원콜착화탄220g,24,주방잡화,2403,일회용품,"숯,그릴",240305
8801062451197,"아이스크림(한누리,나뚜루,바닐라파인트,474ml,냉동)개",한누리)나뚜루바닐라파인트,10,냉동식품,1012,아이스크림,기타,101201
8809146319029,"대)새우튀김(사세,브레드,30g*10미*20,베트남산,냉동)개",사세)빵가루새우,10,냉동식품,1002,간편조리,튀김류,100206
8801037075526,"커피(동서,카누,티라미슈,라떼,24T,415.2g*6)개",카누티라미슈라떼,14,커피/차류,1407,커피,믹스커피,140702
8801069400020,"커피(남양,루카스나인,라떼,더블샷,14.9g*10T*10)개",남양)루카스9라떼더블샷10T,14,커피/차류,1407,커피,믹스커피,140702
2100000628339,"한라봉(10kg,box,국산)","한라봉(10kg,box,국산)",01,청과,0107,밀감,"한라봉(10kg,box)",010708
8809315592031,"계란(녹색계란,황금,특란,15구,냉장)개",녹색)황금알15구,04,계란,0403,특란,특란기타,040303
8801284257911,"물류★메밀면(천일,사누끼,1.25Kg*8,냉동)개",천일)사누끼메밀면,10,냉동식품,1007,면류,우동면,100703
8809009749628,"견과류(해조은,미국,크랜베리,1kg)개",해)건크랜베리1kg,07,수산건식,0711,견과,건조과일,071101
8809027520100,"타올(마이크로버,하트면타올,3p)개",하트면타올3p,25,생활잡화,2502,욕실용품,"타올,매트류",250204
200964,"피우엉대(국내산,box)","피우엉대(국내산,box)",02,야채,0202,근채류,피우엉,020205
8809544681117,"새우튀김(재호,왕새우,머리,50%,10미,400g*10,냉동)개",재호)왕새우튀김헤드온,10,냉동식품,1002,간편조리,튀김류,100206
8809758431379,"옛날과자(서광,밀강정,300g*5)개",서광)밀강정,20,과자,2004,옛날과자,옛날과자,200401
8801045600444,"즉석국(오뚜기,대구식쇠고기육개장,500g*12)개",오)대구식쇠고기육개장,18,조리가공,1802,대용식,즉석국,180203
8809045620318,"향신료(이슬나라,오레가노,홀,150g*12입,상온)개",이슬나라)오레가노(홀),17,조미료,1706,향신료,기타,170602
8412674107091,"비스켓(코스트코,폴트,타르트믹스,딸기,150g*1)개",딸기타르트150g,20,과자,2002,비스켓류,비스켓,200201
8801492307002,"삼계탕(하림,고향,800g*12)개",고향삼계탕800g,18,조리가공,1802,대용식,즉석국,180203
8801045525174,"스낵(오뚜기,미니뿌셔,바베큐맛,4입,220g*12)개",오뚜기)미니뿌셔바베큐,20,과자,2001,스낵류,스낵,200101
0000088021737,"담배(브리티쉬,네오,스위치,상쾌한스위치)개",네오스위치,16,담배,1601,담배,담배,160101
8801042698109,미쟝센스칼프케어샴푸680,미쟝센스칼프케어샴푸,21,H&BC,2102,헤어케어,샴푸,210202
8809539430959,"린스(태평양,려,함초수,산수유,컨디셔너,500ml)개",태)려함초수산수유컨디셔너,21,H&BC,2102,헤어케어,린스,210201
201398,"수입우육(우둔,불고기용,냉장,호주산) 100g",수입냉장 우둔불고기,03,축산,0305,수입우육,우둔,030507
8802039011512,"미취급 라면(면사랑,라멘,220g*5*8,냉동)개",면사랑)라멘,10,냉동식품,1007,면류,기타,100701
8801013711356,"밀가루(큐원,중력,20kg)개",큐원)중력밀가루20kg,18,조리가공,1801,분말가공,밀가루,180102
8804560777004,"잡곡(참좋은,웰빙오곡밥,600g)개",참좋은)웰빙오곡밥,05,양곡,0502,잡곡류,잡곡기타,050202
200237,청어,청어,06,선어,0603,선어,기타,060303
8809184160287,도그썬 미니 닭갈비30,도그썬 미니 닭갈비30,25,생활잡화,2511,애견용품,애견용품,251101
8809413491946,"선물세트(일동팜,고려홍삼,70ml*60포)개",일동팜고려홍삼70ml*60포,13,음료,1309,홍삼세트,홍삼세트,130901
8809396040698,터닝메카드클립도시락,터닝메카드클립도시락,24,주방잡화,2401,용기류,그릇,240101
8809020401369,B)던힐파인컷1mg,B)던힐파인컷1mg,16,담배,1601,담배,담배보루,160102
8809009741721,"계피대(해조은,130g,수입)개",수입계피대130g,07,수산건식,0713,건나물류,건약초,071302
8809057680171,크센)업소용롤백25*35,크센)업소용롤백25*35,24,주방잡화,2403,일회용품,"위생백,장갑",240306
2100000623556,도은식품(반찬3팩),도은식품(반찬3팩),09,일배,0909,수수료,반찬수수료,090901
8809059909737,스프링노트중2호,스프링노트중2호,25,생활잡화,2509,잡화,"문구,팬시",250901
8801111188074,크)새콤달콤125,크)새콤달콤125,20,과자,2006,"캔디,껌,초콜릿",캔디,200603
8801047264231,"식용유(동원,카놀라유,900ml*12)개",동원)카놀라유900ml,17,조미료,1708,유지류,콩식용유,170805
8809437120686,"일회용기(상진,죽용기,1200cc,몸통,50p)개",SJ죽용기1200CC몸통50,24,주방잡화,2403,일회용품,일회용식기,240308
8801051370720,"바디워시(엘지,온더바디,더내추럴,레몬버베나,500g)개",온)더내추럴레몬버베나바디,21,H&BC,2103,바디케어,"바디워시,로션",210302
8801056022082,"★과즙음료(델몬트,알로에,병,180ml)개",델몬트알로에병,13,음료,1301,과일음료,과즙소규격,130102
8809608264515,"선물세트(태평양,려,청아,토탈솔루션,GIFT)개",태)려청아토탈솔루션GIFT,21,H&BC,2105,선물세트,선물세트,210501
7702018881185,질레트퓨전매뉴얼면도,질레트퓨전매뉴얼면도,21,H&BC,2103,바디케어,면도용품,210301
8809329299414,원형리얼락2호,원형리얼락2호,24,주방잡화,2401,용기류,밀폐용기,240103
8807430088811,"양장피(화풍,양장피채,250g*32)개",화풍양장피채,17,조미료,1713,중식재료,기타중식,171305
8809416308425,"가정지(코디,황토3겹,27m*30롤)개",코디황토37m*30롤,23,제지류,2301,가정지,두루마리화장지,230101
0051497019761,"와인(미국,서브미션,까베르네소비뇽,750ml*12)개",서브미션 까쇼,15,주류,1503,"양주,와인",와인,150304
8809685768074,"바디워시(태평양,해피바스,블러섬골드,485g*12)개",태)해피바스블러섬골드,21,H&BC,2103,바디케어,"바디워시,로션",210302
200396,"사과(특,봉지,벌크,개)","사과(특,봉지,벌크,개)",01,청과,0101,사과,"사과(10kg,30과,box)",010104
8801048953301,"★소주(참이슬,후레쉬,PET,640ml)개",참이슬(F)640ml,15,주류,1502,소주,소주,150202
8801052451022,"물엿(청정원,백,이온,1.2kg*12)개",청정원)물엿1.2kg,17,조미료,1701,감미료,물엿,170101
