{'RPATH': 'example', 'UPATH': 'example', 'save': 'example_05', 'seed': 1156, 'lr': 0.0005, 'gpu': '3', 'ep': 500, 'lambda_': 0.5, 'epsilon': 0.2}
epoch : 107	 logprob : -124.11	 J : 5.29	 LOS : 357.4	 TPP(won) : 182729.34
epoch : 108	 logprob : -121.67	 J : -7.64	 LOS : 369.6	 TPP(won) : 143770.95
epoch : 109	 logprob : -107.44	 J : -14.54	 LOS : 329.2	 TPP(won) : 110181.16
epoch : 110	 logprob : -113.03	 J : -7.05	 LOS : 329.0	 TPP(won) : 129432.97
epoch : 111	 logprob : -119.21	 J : 3.2	 LOS : 355.8	 TPP(won) : 170707.91
epoch : 112	 logprob : -123.36	 J : 10.03	 LOS : 325.0	 TPP(won) : 177745.18
epoch : 113	 logprob : -118.36	 J : 0.93	 LOS : 345.6	 TPP(won) : 162537.08
epoch : 114	 logprob : -123.41	 J : -3.19	 LOS : 368.0	 TPP(won) : 164300.21
epoch : 115	 logprob : -122.77	 J : 2.01	 LOS : 373.6	 TPP(won) : 179222.38
epoch : 116	 logprob : -116.93	 J : 1.61	 LOS : 361.2	 TPP(won) : 172518.44
epoch : 117	 logprob : -113.37	 J : -0.61	 LOS : 373.0	 TPP(won) : 170433.92
epoch : 118	 logprob : -113.57	 J : 0.39	 LOS : 344.2	 TPP(won) : 159158.63
epoch : 119	 logprob : -119.41	 J : -0.97	 LOS : 355.2	 TPP(won) : 159317.47
epoch : 120	 logprob : -107.59	 J : -3.47	 LOS : 321.8	 TPP(won) : 131978.85
epoch : 121	 logprob : -122.3	 J : 3.13	 LOS : 345.0	 TPP(won) : 165116.27
epoch : 122	 logprob : -122.71	 J : 4.44	 LOS : 342.4	 TPP(won) : 168081.29
epoch : 123	 logprob : -107.76	 J : -3.25	 LOS : 320.2	 TPP(won) : 133595.27
epoch : 124	 logprob : -128.75	 J : 2.28	 LOS : 368.4	 TPP(won) : 178957.94
epoch : 125	 logprob : -111.32	 J : -7.42	 LOS : 323.2	 TPP(won) : 124351.34
epoch : 126	 logprob : -118.21	 J : -1.32	 LOS : 367.6	 TPP(won) : 164746.32
epoch : 127	 logprob : -97.39	 J : -6.46	 LOS : 308.0	 TPP(won) : 119039.61
epoch : 128	 logprob : -120.14	 J : 10.25	 LOS : 348.4	 TPP(won) : 192606.65
epoch : 129	 logprob : -117.72	 J : 0.2	 LOS : 350.0	 TPP(won) : 163179.33
epoch : 130	 logprob : -130.55	 J : 0.95	 LOS : 389.4	 TPP(won) : 180496.1
