{'RPATH': 'test1', 'UPATH': 'example2', 'save': 'example', 'seed': 5357, 'lr': 0.0005, 'gpu': '2', 'ep': 500, 'lambda_': 0.5, 'epsilon': 0.3}
epoch : 220	 logprob : -9.22	 J : 2.37	 LOS : 152.8	 TPP(won) : 94534.28
epoch : 221	 logprob : -9.19	 J : 1.55	 LOS : 182.4	 TPP(won) : 97079.27
epoch : 222	 logprob : -8.85	 J : 1.48	 LOS : 176.8	 TPP(won) : 93164.48
epoch : 223	 logprob : -7.89	 J : 1.65	 LOS : 147.2	 TPP(won) : 81961.54
epoch : 224	 logprob : -7.92	 J : 2.31	 LOS : 143.4	 TPP(won) : 93757.19
epoch : 225	 logprob : -7.77	 J : 1.27	 LOS : 174.0	 TPP(won) : 90043.72
epoch : 226	 logprob : -7.65	 J : 1.2	 LOS : 168.0	 TPP(won) : 88084.46
epoch : 227	 logprob : -7.46	 J : 2.0	 LOS : 152.2	 TPP(won) : 95741.32
epoch : 228	 logprob : -7.73	 J : 1.18	 LOS : 189.8	 TPP(won) : 101217.45
epoch : 229	 logprob : -6.85	 J : 1.57	 LOS : 157.4	 TPP(won) : 93110.27
epoch : 230	 logprob : -6.71	 J : 1.19	 LOS : 170.4	 TPP(won) : 91010.89
epoch : 231	 logprob : -6.35	 J : 1.15	 LOS : 159.4	 TPP(won) : 84471.97
epoch : 232	 logprob : -6.28	 J : 0.92	 LOS : 178.4	 TPP(won) : 90790.03
epoch : 233	 logprob : -5.8	 J : 1.09	 LOS : 155.8	 TPP(won) : 83036.02
epoch : 234	 logprob : -6.05	 J : 1.31	 LOS : 162.6	 TPP(won) : 94173.76
epoch : 235	 logprob : -6.43	 J : 0.83	 LOS : 199.4	 TPP(won) : 102056.38
epoch : 236	 logprob : -6.02	 J : 0.96	 LOS : 186.6	 TPP(won) : 101532.01
epoch : 237	 logprob : -5.51	 J : 1.09	 LOS : 170.0	 TPP(won) : 93110.27
epoch : 238	 logprob : -5.74	 J : 0.94	 LOS : 193.2	 TPP(won) : 106457.0
epoch : 239	 logprob : -5.53	 J : 0.85	 LOS : 187.2	 TPP(won) : 100385.43
epoch : 240	 logprob : -5.19	 J : 1.12	 LOS : 167.6	 TPP(won) : 94660.13
epoch : 241	 logprob : -5.11	 J : 0.82	 LOS : 187.0	 TPP(won) : 97079.27
epoch : 242	 logprob : -5.24	 J : 0.94	 LOS : 184.4	 TPP(won) : 104989.8
epoch : 243	 logprob : -5.14	 J : 0.95	 LOS : 190.6	 TPP(won) : 108229.01
epoch : 244	 logprob : -4.73	 J : 0.97	 LOS : 169.2	 TPP(won) : 97753.77
epoch : 245	 logprob : -4.73	 J : 0.79	 LOS : 184.2	 TPP(won) : 99560.24
epoch : 246	 logprob : -4.68	 J : 1.19	 LOS : 163.4	 TPP(won) : 100962.62
epoch : 247	 logprob : -4.47	 J : 0.86	 LOS : 178.8	 TPP(won) : 102104.61
epoch : 248	 logprob : -4.85	 J : 1.1	 LOS : 176.2	 TPP(won) : 109126.05
epoch : 249	 logprob : -4.21	 J : 0.82	 LOS : 183.4	 TPP(won) : 106457.0
epoch : 250	 logprob : -4.35	 J : 0.96	 LOS : 178.6	 TPP(won) : 107339.35
epoch : 251	 logprob : -4.08	 J : 0.74	 LOS : 188.4	 TPP(won) : 107339.35
epoch : 252	 logprob : -4.19	 J : 0.68	 LOS : 190.4	 TPP(won) : 104126.77
epoch : 253	 logprob : -4.15	 J : 1.02	 LOS : 169.6	 TPP(won) : 108229.01
epoch : 254	 logprob : -3.99	 J : 0.77	 LOS : 179.0	 TPP(won) : 104714.0
epoch : 255	 logprob : -4.04	 J : 0.89	 LOS : 175.0	 TPP(won) : 105532.03
epoch : 256	 logprob : -3.91	 J : 1.0	 LOS : 166.2	 TPP(won) : 108126.25
epoch : 257	 logprob : -3.88	 J : 1.12	 LOS : 158.2	 TPP(won) : 108126.25
epoch : 258	 logprob : -3.87	 J : 1.01	 LOS : 162.6	 TPP(won) : 107339.35
epoch : 259	 logprob : -3.62	 J : 0.77	 LOS : 175.6	 TPP(won) : 106254.94
epoch : 260	 logprob : -3.39	 J : 0.85	 LOS : 164.8	 TPP(won) : 106355.92
epoch : 261	 logprob : -3.49	 J : 0.86	 LOS : 169.2	 TPP(won) : 108126.25
epoch : 262	 logprob : -3.35	 J : 1.08	 LOS : 151.0	 TPP(won) : 109821.68
epoch : 263	 logprob : -2.95	 J : 0.7	 LOS : 170.0	 TPP(won) : 105952.57
epoch : 264	 logprob : -3.37	 J : 1.03	 LOS : 151.4	 TPP(won) : 106254.94
epoch : 265	 logprob : -3.18	 J : 0.95	 LOS : 153.6	 TPP(won) : 106932.27
epoch : 266	 logprob : -2.84	 J : 0.77	 LOS : 159.8	 TPP(won) : 106932.27
epoch : 267	 logprob : -2.82	 J : 0.89	 LOS : 148.6	 TPP(won) : 106154.05
epoch : 268	 logprob : -2.99	 J : 0.84	 LOS : 159.8	 TPP(won) : 108023.59
epoch : 269	 logprob : -2.78	 J : 0.85	 LOS : 152.0	 TPP(won) : 106932.27
epoch : 270	 logprob : -2.61	 J : 0.79	 LOS : 152.4	 TPP(won) : 106932.27
epoch : 271	 logprob : -2.69	 J : 0.93	 LOS : 143.8	 TPP(won) : 107716.18
epoch : 272	 logprob : -2.55	 J : 0.81	 LOS : 148.6	 TPP(won) : 106729.3
epoch : 273	 logprob : -2.55	 J : 0.88	 LOS : 142.8	 TPP(won) : 106830.74
epoch : 274	 logprob : -2.4	 J : 0.81	 LOS : 143.8	 TPP(won) : 105751.46
epoch : 275	 logprob : -2.36	 J : 0.78	 LOS : 145.4	 TPP(won) : 105751.46
epoch : 276	 logprob : -2.29	 J : 0.82	 LOS : 140.2	 TPP(won) : 106729.3
epoch : 277	 logprob : -2.49	 J : 0.85	 LOS : 145.4	 TPP(won) : 108608.97
epoch : 278	 logprob : -2.13	 J : 0.71	 LOS : 143.6	 TPP(won) : 104683.09
